ETA;SESSO;REGIONE DI NASCITA;RESIDENTI
35;F;ESTERO;1
0;F;ESTERO;19
1;F;ESTERO;63
2;F;ESTERO;76
3;F;ESTERO;102
4;F;ESTERO;157
5;F;ESTERO;174
6;F;ESTERO;199
7;F;ESTERO;241
8;F;ESTERO;253
9;F;ESTERO;289
10;F;ESTERO;357
11;F;ESTERO;441
12;F;ESTERO;461
13;F;ESTERO;571
14;F;ESTERO;571
15;F;ESTERO;489
16;F;ESTERO;580
17;F;ESTERO;584
18;F;ESTERO;626
19;F;ESTERO;673
20;F;ESTERO;728
21;F;ESTERO;886
22;F;ESTERO;1001
23;F;ESTERO;1195
24;F;ESTERO;1387
25;F;ESTERO;1493
26;F;ESTERO;1559
27;F;ESTERO;1691
28;F;ESTERO;1787
29;F;ESTERO;1897
30;F;ESTERO;1937
31;F;ESTERO;2069
32;F;ESTERO;2070
33;F;ESTERO;2134
34;F;ESTERO;2055
35;F;ESTERO;2123
36;F;ESTERO;2124
37;F;ESTERO;2043
38;F;ESTERO;1924
39;F;ESTERO;1926
40;F;ESTERO;1917
41;F;ESTERO;1925
42;F;ESTERO;1824
43;F;ESTERO;1844
44;F;ESTERO;1844
45;F;ESTERO;1412
46;F;ESTERO;1425
47;F;ESTERO;1386
48;F;ESTERO;1402
49;F;ESTERO;1278
50;F;ESTERO;1168
51;F;ESTERO;1195
52;F;ESTERO;1147
53;F;ESTERO;997
54;F;ESTERO;913
55;F;ESTERO;894
56;F;ESTERO;736
57;F;ESTERO;744
58;F;ESTERO;687
59;F;ESTERO;592
60;F;ESTERO;498
61;F;ESTERO;546
62;F;ESTERO;448
63;F;ESTERO;389
64;F;ESTERO;333
65;F;ESTERO;320
66;F;ESTERO;275
67;F;ESTERO;313
68;F;ESTERO;313
69;F;ESTERO;335
70;F;ESTERO;284
71;F;ESTERO;345
72;F;ESTERO;306
73;F;ESTERO;300
74;F;ESTERO;283
75;F;ESTERO;266
76;F;ESTERO;227
77;F;ESTERO;244
78;F;ESTERO;218
79;F;ESTERO;206
80;F;ESTERO;204
81;F;ESTERO;206
82;F;ESTERO;153
83;F;ESTERO;173
84;F;ESTERO;139
85;F;ESTERO;132
86;F;ESTERO;159
87;F;ESTERO;102
88;F;ESTERO;95
89;F;ESTERO;95
90;F;ESTERO;76
91;F;ESTERO;62
92;F;ESTERO;39
93;F;ESTERO;24
94;F;ESTERO;23
95;F;ESTERO;11
96;F;ESTERO;13
97;F;ESTERO;13
98;F;ESTERO;15
99;F;ESTERO;7
100;F;ESTERO;3
101;F;ESTERO;10
102;F;ESTERO;1
103;F;ESTERO;2
106;F;ESTERO;2
0;M;ESTERO;26
1;M;ESTERO;64
2;M;ESTERO;102
3;M;ESTERO;133
4;M;ESTERO;147
5;M;ESTERO;199
6;M;ESTERO;222
7;M;ESTERO;267
8;M;ESTERO;255
9;M;ESTERO;306
10;M;ESTERO;366
11;M;ESTERO;452
12;M;ESTERO;482
13;M;ESTERO;585
14;M;ESTERO;550
15;M;ESTERO;567
16;M;ESTERO;597
17;M;ESTERO;733
18;M;ESTERO;688
19;M;ESTERO;802
20;M;ESTERO;828
21;M;ESTERO;944
22;M;ESTERO;1071
23;M;ESTERO;1171
24;M;ESTERO;1274
25;M;ESTERO;1410
26;M;ESTERO;1417
27;M;ESTERO;1467
28;M;ESTERO;1604
29;M;ESTERO;1685
30;M;ESTERO;1739
31;M;ESTERO;1927
32;M;ESTERO;1937
33;M;ESTERO;2007
34;M;ESTERO;1901
35;M;ESTERO;1939
36;M;ESTERO;1906
37;M;ESTERO;1920
38;M;ESTERO;1748
39;M;ESTERO;1822
40;M;ESTERO;1673
41;M;ESTERO;1839
42;M;ESTERO;1722
43;M;ESTERO;1773
44;M;ESTERO;1639
45;M;ESTERO;1424
46;M;ESTERO;1358
47;M;ESTERO;1232
48;M;ESTERO;1221
49;M;ESTERO;1138
50;M;ESTERO;1056
51;M;ESTERO;1016
52;M;ESTERO;929
53;M;ESTERO;845
54;M;ESTERO;704
55;M;ESTERO;685
56;M;ESTERO;628
57;M;ESTERO;495
58;M;ESTERO;417
59;M;ESTERO;361
60;M;ESTERO;342
61;M;ESTERO;342
62;M;ESTERO;268
63;M;ESTERO;241
64;M;ESTERO;227
65;M;ESTERO;210
66;M;ESTERO;177
67;M;ESTERO;156
68;M;ESTERO;177
69;M;ESTERO;173
70;M;ESTERO;169
71;M;ESTERO;227
72;M;ESTERO;212
73;M;ESTERO;189
74;M;ESTERO;164
75;M;ESTERO;166
76;M;ESTERO;166
77;M;ESTERO;140
