"eta" "altre" "estero" "piemonte"
"1" 0 136 45 7451
"2" 1 166 127 7704
"3" 2 190 178 7837
"4" 3 202 235 7611
"5" 4 209 304 7356
"6" 5 214 373 7046
"7" 6 238 421 6868
"8" 7 242 508 6554
"9" 8 249 508 6520
"10" 9 230 595 6315
"11" 10 235 723 6075
"12" 11 281 893 6040
"13" 12 271 943 5754
"14" 13 234 1156 5579
"15" 14 263 1121 5443
"16" 15 242 1056 5372
"17" 16 294 1177 5267
"18" 17 315 1317 5264
"19" 18 326 1314 5368
"20" 19 368 1475 5473
"21" 20 363 1556 5417
"22" 21 400 1830 5548
"23" 22 453 2072 5457
"24" 23 505 2366 5434
"25" 24 541 2661 5195
"26" 25 612 2903 5361
"27" 26 786 2976 5517
"28" 27 891 3158 5473
"29" 28 1028 3391 5718
"30" 29 1136 3582 5940
"31" 30 1223 3676 5777
"32" 31 1229 3996 5864
"33" 32 1333 4007 6282
"34" 33 1439 4141 6768
"35" 34 1535 3956 7305
"36" 35 1616 4063 7705
"37" 36 1765 4030 8368
"38" 37 1934 3963 8993
"39" 38 2063 3672 9005
"40" 39 2182 3748 9050
"41" 40 2240 3590 9318
"42" 41 2327 3764 8929
"43" 42 2519 3546 8966
"44" 43 2878 3617 8714
"45" 44 3063 3483 8338
"46" 45 3526 2836 8429
"47" 46 3523 2783 8051
"48" 47 3657 2618 8352
"49" 48 3682 2623 7693
"50" 49 3787 2416 6947
"51" 50 4224 2224 6482
"52" 51 4617 2211 5802
"53" 52 4819 2076 5560
"54" 53 4961 1842 5372
"55" 54 5165 1617 5292
"56" 55 5370 1579 4877
"57" 56 5539 1364 4413
"58" 57 5740 1239 4204
"59" 58 5697 1104 3981
"60" 59 5819 953 3931
"61" 60 5956 840 3787
"62" 61 6286 888 3844
"63" 62 6449 716 3825
"64" 63 7126 630 4281
"65" 64 6941 560 4525
"66" 65 7073 530 4720
"67" 66 5746 452 3221
"68" 67 5709 469 3848
"69" 68 6070 490 3650
"70" 69 5654 508 4207
"71" 70 5546 453 4334
"72" 71 6490 572 4652
"73" 72 6135 518 4965
"74" 73 5906 489 5068
"75" 74 5592 447 4542
"76" 75 5387 432 4188
"77" 76 5251 393 4322
"78" 77 5067 384 3946
"79" 78 4824 359 3747
"80" 79 4288 346 3898
"81" 80 4155 337 3894
"82" 81 3987 332 4037
"83" 82 3444 258 3484
"84" 83 3039 255 3118
"85" 84 2917 210 2843
"86" 85 2481 197 2435
"87" 86 2293 218 2056
"88" 87 1972 139 1806
"89" 88 1755 135 1670
"90" 89 1413 127 1490
"91" 90 1260 103 1379
"92" 91 1002 89 1007
"93" 92 503 49 490
"94" 93 339 31 332
"95" 94 267 27 301
"96" 95 245 14 272
"97" 96 220 20 255
"98" 97 164 17 186
"99" 98 121 15 149
"100" 99 87 10 99
"101" 100 50 4 63
"102" 101 26 11 38
"103" 102 18 1 9
"104" 103 7 2 11
"105" 104 5 1 7
